행정구역별,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
행정구역별,소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건),소년 천명당 소년범죄발생건수<br>(A÷B×1000) (건)
전국,18,17.3,13.9,13,16.6,14.6,13.2,14,13.9,13.7,12.9,13.3,13.5
서울특별시,20.2,19.1,15.1,13.8,18.1,15.7,13.9,13.9,13.6,13.7,13.1,13.2,12.3
부산광역시,22.8,24.7,18.4,16.3,23.8,21.1,18.8,21.6,20.5,20.6,19.4,18.5,16.3
대구광역시,18.3,16,13.4,14.9,19.4,17.1,13.8,14,15.2,13.9,13.1,14.7,13.6
인천광역시,20.3,17.3,15.3,17.3,18.8,17,14.2,15.3,17.9,16.3,16.1,16.5,16.7
광주광역시,20.1,19.6,17.4,15.9,21.6,16.7,14.1,14.7,14.5,15.4,14.2,15.4,16.8
대전광역시,19.1,14.5,12.4,10.4,16,16.3,14.6,15.5,14.7,14.8,14,15.9,15.2
울산광역시,18.4,15.4,14.7,13.8,14.9,13.7,13.6,16,14.1,14.1,12.4,12,12.7
세종특별자치시,7,7,7,7,7,7,7,7,7,7,7,8,6.1
경기도,16.1,17.5,12.8,11.6,15.3,13.3,12.5,13.7,13.4,13.3,12.4,12.9,13
강원도,19.7,18.3,16.2,15.4,18.4,14.3,12.8,13.4,13.9,13.7,12.5,11.8,12.4
충청북도,15.5,15.3,12.7,12.7,14.2,13.6,12.9,12.9,13.6,14.4,13.6,14.8,15.6
충청남도,14.7,12.1,11.7,9.4,14,13.6,13.3,13.9,13.1,11.9,12.3,13.1,13
전라북도,15.1,14.9,11.9,11.8,14.7,12.2,12.3,12.4,11.8,12,12.6,11.4,13.4
전라남도,19.2,17,13.4,11.8,14.7,11.8,10.9,11.7,12.5,11.9,10.8,12.4,14.7
경상북도,15.1,13.2,10.6,10.6,13.5,12.2,11,11.7,11.9,11.6,10.7,11.6,12.4
경상남도,15.2,14.4,11.8,11.1,11.6,10.4,9.4,11.1,10.5,10.2,8.6,10,11.5
제주특별자치도,21.6,18.3,17.8,13.4,13.3,14.3,12.8,14.4,11.8,13.5,11.2,11.4,15.1
